name,slug,status
ACI HealthCare Limited,aci-healthcare-limited,1
Active Fine Chemicals Ltd.,active-fine-chemicals-ltd.,1
Ad-din Pharmaceuticals Ltd.,ad-din-pharmaceuticals-ltd.,1
Adova Pharmaceuticals Ltd.,adova-pharmaceuticals-ltd.,1
Advanced Chemical Industries Limited,advanced-chemical-industries-limited,1
Advent Pharma Ltd.,advent-pharma-ltd.,1
AFC Agro Biotech Ltd.,afc-agro-biotech-ltd.,1
Al-Madina Pharmaceuticals Ltd.,al-madina-pharmaceuticals-ltd.,1
Albion Animal Feed Products (Veterinary),albion-animal-feed-products-(veterinary),1
Albion Laboratories Ltd.,albion-laboratories-ltd.,1
Albion Specialized Pharma Limited,albion-specialized-pharma-limited,1
Alco Pharma Limited,alco-pharma-limited,1
Alkad Laboratories,alkad-laboratories,1
Allied Pharmaceuticals Ltd.,allied-pharmaceuticals-ltd.,1
Ambee Pharmaceuticals Ltd.,ambee-pharmaceuticals-ltd.,1
Amico Laboratories Ltd.,amico-laboratories-ltd.,1
Amulet Pharmaceuticals Ltd.,amulet-pharmaceuticals-ltd.,1
APC Pharma Limited,apc-pharma-limited,1
Apex Pharma Ltd.,apex-pharma-ltd.,1
Apollo Pharmaceutical Laboratories Ltd.,apollo-pharmaceutical-laboratories-ltd.,1
Arges Life Science Ltd.,arges-life-science-ltd.,1
Aristopharma Limited,aristopharma-limited,1
"Aristopharma Limited, Gazipur","aristopharma-limited,-gazipur",1
Army Pharma Limited,army-pharma-limited,1
Asiatic Laboratories Ltd.,asiatic-laboratories-ltd.,1
Astra Biopharmaceuticals Ltd.,astra-biopharmaceuticals-ltd.,1
Avarox Pharmaceuticals Ltd.,avarox-pharmaceuticals-ltd.,1
Aztec Pharmaceuticals Ltd.,aztec-pharmaceuticals-ltd.,1
Bangladesh Antibiotic Industries Limited,bangladesh-antibiotic-industries-limited,1
"Beacon Cephalosporin Ltd.,","beacon-cephalosporin-ltd.,",1
Beacon Pharmaceuticals PLC,beacon-pharmaceuticals-plc,1
Belsen Pharmaceuticals Ltd.,belsen-pharmaceuticals-ltd.,1
Bengal Drugs & Chemical Works Pharm. Ltd.,bengal-drugs-&-chemical-works-pharm.-ltd.,1
Bengal Remedies Ltd.,bengal-remedies-ltd.,1
Benham Pharmaceuticals Ltd.,benham-pharmaceuticals-ltd.,1
Beximco Pharmaceuticals Ltd.,beximco-pharmaceuticals-ltd.,1
"Beximco Pharmaceuticals Ltd., Kaliakoir","beximco-pharmaceuticals-ltd.,-kaliakoir",1
Bexter Pharmaceuticals,bexter-pharmaceuticals,1
Biogen Pharmaceuticals Ltd.,biogen-pharmaceuticals-ltd.,1
Biopharma Ltd.,biopharma-ltd.,1
Bridge Pharmaceuticals Ltd.,bridge-pharmaceuticals-ltd.,1
Bristol Pharma Ltd.,bristol-pharma-ltd.,1
C2C Pharma Limited,c2c-pharma-limited,1
Centeon Pharma Limited,centeon-pharma-limited,1
Central Pharmaceutical Ltd.,central-pharmaceutical-ltd.,1
Chemist Laboratories Ltd.,chemist-laboratories-ltd.,1
Cipla Ltd.,cipla-ltd.,1
Concord Pharmaceuticals Ltd.,concord-pharmaceuticals-ltd.,1
Cosmic Pharma Ltd.,cosmic-pharma-ltd.,1
Cosmo Pharma Laboratories Ltd.,cosmo-pharma-laboratories-ltd.,1
DBL Pharmaceuticals Limited,dbl-pharmaceuticals-limited,1
Decent Pharma Laboratories Ltd.,decent-pharma-laboratories-ltd.,1
Delta Pharma Limited,delta-pharma-limited,1
Desh Pharmaceuticals Ltd.,desh-pharmaceuticals-ltd.,1
"Dider Pharma Ltd.,","dider-pharma-ltd.,",1
Doctor Tims Pharmaceuticals Ltd.,doctor-tims-pharmaceuticals-ltd.,1
Doctor's Chemicals Works Ltd.,doctor's-chemicals-works-ltd.,1
Drug International Ltd.,drug-international-ltd.,1
"Drug International Ltd., Gopalpur","drug-international-ltd.,-gopalpur",1
"Drug International Ltd., Squib Road","drug-international-ltd.,-squib-road",1
EDCL (Bogra),edcl-(bogra),1
EDCL (Dhaka),edcl-(dhaka),1
Edruc Ltd.,edruc-ltd.,1
EMCS Pharma Limited,emcs-pharma-limited,1
Eon Pharmaceuticals Ltd.,eon-pharmaceuticals-ltd.,1
"Eskayef Pharmaceuticals Ltd. Chandana, Gazipur","eskayef-pharmaceuticals-ltd.-chandana,-gazipur",1
Eskayef Pharmaceuticals Ltd. Mirpur.,eskayef-pharmaceuticals-ltd.-mirpur.,1
"Eskayef Pharmaceuticals Ltd., Narayanganj","eskayef-pharmaceuticals-ltd.,-narayanganj",1
"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur","eskayef-pharmaceuticals-ltd.,-tongi,gazipur",1
Ethical Drug Ltd.,ethical-drug-ltd.,1
Euro Pharma Ltd.,euro-pharma-ltd.,1
Everest Pharmaceuticals Ltd.,everest-pharmaceuticals-ltd.,1
FnF Pharmaceuticals Ltd.,fnf-pharmaceuticals-ltd.,1
G. A. Company Ltd.,g.-a.-company-ltd.,1
"General Pharmaceuticals Ltd, Unit-2","general-pharmaceuticals-ltd,-unit-2",1
General Pharmaceuticals Ltd.,general-pharmaceuticals-ltd.,1
Gentry Pharmaceuticals Ltd.,gentry-pharmaceuticals-ltd.,1
Genvio Pharma Ltd.,genvio-pharma-ltd.,1
Get Well Limited,get-well-limited,1
Global Capsules Ltd.,global-capsules-ltd.,1
"Global Capsules Ltd., Gelatin Division","global-capsules-ltd.,-gelatin-division",1
Global Heavy Chemicals Ltd.,global-heavy-chemicals-ltd.,1
Globe Pharmaceuticals Ltd.,globe-pharmaceuticals-ltd.,1
Globex Pharmaceuticals Ltd.,globex-pharmaceuticals-ltd.,1
Gonoshasthaya Basic Chemical Ltd.,gonoshasthaya-basic-chemical-ltd.,1
Gonoshasthaya Pharmaceuticals Ltd.,gonoshasthaya-pharmaceuticals-ltd.,1
Goodman Pharmaceuticals Ltd,goodman-pharmaceuticals-ltd,1
Greenland Pharmaceuticals Ltd.,greenland-pharmaceuticals-ltd.,1
Guardian Healthcare Ltd.,guardian-healthcare-ltd.,1
Healthcare Pharmaceuticals Ltd.,healthcare-pharmaceuticals-ltd.,1
Hudson Pharmaceuticals Ltd.,hudson-pharmaceuticals-ltd.,1
Ibn Sina Pharmaceutical Ind. Ltd.,ibn-sina-pharmaceutical-ind.-ltd.,1
Incepta Pharmaceuticals Ltd.,incepta-pharmaceuticals-ltd.,1
Incepta Pharmaceuticals Ltd. (Dhamrai Unit),incepta-pharmaceuticals-ltd.-(dhamrai-unit),1
"Incepta Pharmaceuticals Ltd., Chemical Division","incepta-pharmaceuticals-ltd.,-chemical-division",1
"Incepta Pharmaceuticals Ltd., Vaccine Division","incepta-pharmaceuticals-ltd.,-vaccine-division",1
Indo-Bangla Pharmaceuticals Ltd.,indo-bangla-pharmaceuticals-ltd.,1
Islam Oxygen (Pvt) Ltd.,islam-oxygen-(pvt)-ltd.,1
Jayson Pharmaceuticals Ltd.,jayson-pharmaceuticals-ltd.,1
Jenphar Bangladesh Ltd.,jenphar-bangladesh-ltd.,1
JMI Industrial Gas Ltd.,jmi-industrial-gas-ltd.,1
JMI Syringes & Medical Devices Ltd.,jmi-syringes-&-medical-devices-ltd.,1
JP Pharmaceuticals (Veterinary),jp-pharmaceuticals-(veterinary),1
JR Pharmaceuticals Ltd.,jr-pharmaceuticals-ltd.,1
Kemiko Pharmaceuticals Ltd.,kemiko-pharmaceuticals-ltd.,1
Kumudini Pharma Ltd.,kumudini-pharma-ltd.,1
Labaid Pharmaceuticals Ltd.,labaid-pharmaceuticals-ltd.,1
Leader Pharmaceuticals Limited,leader-pharmaceuticals-limited,1
Leon Pharmaceuticals Ltd.,leon-pharmaceuticals-ltd.,1
Libra Infusion Limited,libra-infusion-limited,1
Linde Bangladesh Limited,linde-bangladesh-limited,1
Maks Drugs Ltd.,maks-drugs-ltd.,1
Marksman Pharmaceutical Ltd.,marksman-pharmaceutical-ltd.,1
Medicon Pharmaceuticals Ltd.,medicon-pharmaceuticals-ltd.,1
Medimet Pharmaceuticals Ltd.,medimet-pharmaceuticals-ltd.,1
MedRx Life Science Ltd.,medrx-life-science-ltd.,1
Millat Pharmaceuticals Ltd.,millat-pharmaceuticals-ltd.,1
Modern Pharmaceuticals Ltd.,modern-pharmaceuticals-ltd.,1
Momtaz Pharmaceuticals Ltd.,momtaz-pharmaceuticals-ltd.,1
Monicopharma Limited,monicopharma-limited,1
"MSF Pharmaceuticals Ltd.,","msf-pharmaceuticals-ltd.,",1
MST Pharma and Healthcare Ltd.,mst-pharma-and-healthcare-ltd.,1
Mundipharma (Bangladesh) Pvt. Ltd.,mundipharma-(bangladesh)-pvt.-ltd.,1
Mystic Pharmaceuticals Ltd.,mystic-pharmaceuticals-ltd.,1
Naafco Pharma Ltd.,naafco-pharma-ltd.,1
National Drug Company Ltd.,national-drug-company-ltd.,1
National Laboratories Ltd.,national-laboratories-ltd.,1
Navana Pharmaceuticals Ltd.,navana-pharmaceuticals-ltd.,1
Newtec Pharmaceuticals Ltd.,newtec-pharmaceuticals-ltd.,1
Nip Chemicals And Pharmaceuticals Ltd.,nip-chemicals-and-pharmaceuticals-ltd.,1
Nipa Pharmaceuticals Ltd.,nipa-pharmaceuticals-ltd.,1
NIPRO JMI Company Ltd.,nipro-jmi-company-ltd.,1
NIPRO JMI Pharma Limited,nipro-jmi-pharma-limited,1
Novartis  (Bangladesh) Ltd.,novartis--(bangladesh)-ltd.,1
Novatek Pharmaceuticals Ltd.,novatek-pharmaceuticals-ltd.,1
Novo Healthcare and Pharma Ltd.,novo-healthcare-and-pharma-ltd.,1
Novo Healthcare and Pharma Ltd. (Unit-2),novo-healthcare-and-pharma-ltd.-(unit-2),1
Novus Pharmaceuticals Ltd.,novus-pharmaceuticals-ltd.,1
Nuvista Pharma Ltd,nuvista-pharma-ltd,1
One Pharma Ltd.,one-pharma-ltd.,1
Opsonin Bulk Drugs Ltd.,opsonin-bulk-drugs-ltd.,1
Opsonin Pharma Limited,opsonin-pharma-limited,1
Orion Infusion Ltd.,orion-infusion-ltd.,1
Orion Pharma Ltd.,orion-pharma-ltd.,1
OSL Pharma Ltd.,osl-pharma-ltd.,1
Oyster Pharmaceuticals Ltd.,oyster-pharmaceuticals-ltd.,1
Pacific Pharmaceuticals Ltd.,pacific-pharmaceuticals-ltd.,1
"Peertop Pharmaceuticals Ltd.,","peertop-pharmaceuticals-ltd.,",1
Peoples Pharma Ltd.,peoples-pharma-ltd.,1
Pharmacil Ltd.,pharmacil-ltd.,1
Pharmasia Ltd.,pharmasia-ltd.,1
Pharmatek Chemicals Ltd.,pharmatek-chemicals-ltd.,1
Pharmik Laboratories Ltd.,pharmik-laboratories-ltd.,1
"Physic Pharmaceuticals Ltd.,","physic-pharmaceuticals-ltd.,",1
Popular Pharmaceuticals PLC,popular-pharmaceuticals-plc,1
Premier Pharmaceuticals Ltd.,premier-pharmaceuticals-ltd.,1
Prime Pharmaceuticals Ltd.,prime-pharmaceuticals-ltd.,1
Pristine Chem Limited,pristine-chem-limited,1
Pristine Pharmaceuticals,pristine-pharmaceuticals,1
Promixco Pharmaceutical Ltd.,promixco-pharmaceutical-ltd.,1
"Purbadesh Chemists Ltd.,","purbadesh-chemists-ltd.,",1
Quality Pharmaceuticals (Pvt) Ltd.,quality-pharmaceuticals-(pvt)-ltd.,1
Radiant Pharmaceuticals Ltd.,radiant-pharmaceuticals-ltd.,1
Rahman Chemicals Ltd.,rahman-chemicals-ltd.,1
Rampart-Power Bangladesh Ltd.,rampart-power-bangladesh-ltd.,1
Rangs Pharmaceuticals Ltd.,rangs-pharmaceuticals-ltd.,1
Reckitt Benckiser Bangladesh Ltd.,reckitt-benckiser-bangladesh-ltd.,1
Reliance Pharmaceuticals Ltd.,reliance-pharmaceuticals-ltd.,1
Reman Drug Laboratories Ltd.,reman-drug-laboratories-ltd.,1
Remo Chemical Ltd.,remo-chemical-ltd.,1
Renata Limited,renata-limited,1
"Renata Limited, Gazipur","renata-limited,-gazipur",1
"Renata Ltd., Bhaluka","renata-ltd.,-bhaluka",1
Rephco Pharmaceuticals Ltd.,rephco-pharmaceuticals-ltd.,1
RN Pharmaceuticals,rn-pharmaceuticals,1
Royal Pharmaceuticals Ltd.,royal-pharmaceuticals-ltd.,1
S. N. Pharmaceuticals Ltd.,s.-n.-pharmaceuticals-ltd.,1
Save Pharmaceuticals Ltd.,save-pharmaceuticals-ltd.,1
Seba Laboratories Ltd.,seba-laboratories-ltd.,1
Sharif Pharmaceuticals Ltd.,sharif-pharmaceuticals-ltd.,1
Shinil Pharma Limited,shinil-pharma-limited,1
Silco Pharmaceuticlas Ltd.,silco-pharmaceuticlas-ltd.,1
Silva Pharmaceuticals Ltd.,silva-pharmaceuticals-ltd.,1
SMC Enterprise Limited,smc-enterprise-limited,1
Sodical Chemical Ltd.,sodical-chemical-ltd.,1
Somatec Pharmaceuticals Ltd.,somatec-pharmaceuticals-ltd.,1
"Sonargaon Steel Fabricate Ltd., (Oxygen Plant)","sonargaon-steel-fabricate-ltd.,-(oxygen-plant)",1
"Spectra International Ltd.,","spectra-international-ltd.,",1
Spectra Oxygen Limited,spectra-oxygen-limited,1
Square Cephalosporins Ltd.,square-cephalosporins-ltd.,1
Square Formulations Ltd.,square-formulations-ltd.,1
"Square Lifesciences Limited, Pabna","square-lifesciences-limited,-pabna",1
"Square Pharmaceuticals PLC, (Chemical Division)","square-pharmaceuticals-plc,-(chemical-division)",1
"Square Pharmaceuticals PLC, Gazipur","square-pharmaceuticals-plc,-gazipur",1
"Square Pharmaceuticals PLC, Pabna","square-pharmaceuticals-plc,-pabna",1
Standard Laboratories Ltd.,standard-laboratories-ltd.,1
Sun Pharmaceutical (Bangladesh) Ltd.,sun-pharmaceutical-(bangladesh)-ltd.,1
"Sun Pharmaceuticals (EZ) Ltd., Narayanganj","sun-pharmaceuticals-(ez)-ltd.,-narayanganj",1
Sunman-Birdem Pharma Ltd.,sunman-birdem-pharma-ltd.,1
Super Power Pharmaceuticals Ltd.,super-power-pharmaceuticals-ltd.,1
Supreme Pharmaceuticals Ltd.,supreme-pharmaceuticals-ltd.,1
Synovia Pharma PLC.,synovia-pharma-plc.,1
Team Pharmaceuticals Ltd.,team-pharmaceuticals-ltd.,1
"Techno Drugs Ltd., BSCIC I/A, Narshingdi","techno-drugs-ltd.,-bscic-i/a,-narshingdi",1
"Techno Drugs Ltd., Gazipur","techno-drugs-ltd.,-gazipur",1
"Techno Drugs Ltd., Satipara, Narshingdi","techno-drugs-ltd.,-satipara,-narshingdi",1
The ACME Laboratories Ltd.,the-acme-laboratories-ltd.,1
The White Horse Pharmaceuticals Ltd.,the-white-horse-pharmaceuticals-ltd.,1
UNIDO Pharmaceuticals Ltd.,unido-pharmaceuticals-ltd.,1
Unimed Unihealth Pharmaceuticals Ltd.,unimed-unihealth-pharmaceuticals-ltd.,1
Union Oxygen Limited,union-oxygen-limited,1
Union Pharmaceuticals Ltd.,union-pharmaceuticals-ltd.,1
Unique Pharmaceutical Ltd.,unique-pharmaceutical-ltd.,1
United Chemicals & Pharmaceuticals Ltd.,united-chemicals-&-pharmaceuticals-ltd.,1
Veritas Pharmaceuticals Ltd.,veritas-pharmaceuticals-ltd.,1
Vion Pharmaceuticals (Veterinary),vion-pharmaceuticals-(veterinary),1
Virgo Pharmaceuticals Ltd.,virgo-pharmaceuticals-ltd.,1
Vision Drugs Limited (Veterinary),vision-drugs-limited-(veterinary),1
World API Chemical Industry Ltd.,world-api-chemical-industry-ltd.,1
Zenith Pharmaceuticals Ltd.,zenith-pharmaceuticals-ltd.,1
Zhaofeng Gelating Limited,zhaofeng-gelating-limited,1
Ziska Pharmaceuticals Ltd.,ziska-pharmaceuticals-ltd.,1
